time,threshold,delta,regimes,vvix_max,n,wr,total,avg,best,worst,max_dd,mar
0945,8.5,-0.25,ALL,100,85,12.94,22440,264.0,16020,-2640,11950.0,1.88
0945,8.5,-0.25,NO_R1,100,63,4.76,-13510,-214.44,5440,-2640,15320.0,-0.88
0945,8.5,-0.275,ALL,999,81,17.28,24460,301.98,16480,-2950,19000.0,1.29
0945,8.5,-0.275,NO_R1,999,55,16.36,3120,56.73,14010,-2950,10660.0,0.29
0945,8.5,-0.275,ALL,110,79,16.46,24860,314.68,16480,-2950,19910.0,1.25
0945,8.5,-0.275,NO_R1,110,47,14.89,5960,126.81,14010,-2950,9720.0,0.61
0945,8.5,-0.275,ALL,100,65,20.0,19740,303.69,16480,-2950,13710.0,1.44
0945,8.5,-0.275,NO_R1,100,38,18.42,-8870,-233.42,5440,-2950,13190.0,-0.67
0945,8.5,-0.3,ALL,999,81,17.28,24260,299.51,16930,-3250,21000.0,1.16
0945,8.5,-0.3,NO_R1,999,55,16.36,3240,58.91,14010,-3250,11270.0,0.29
0945,8.5,-0.3,ALL,110,79,16.46,24380,308.61,16930,-3250,22380.0,1.09
0945,8.5,-0.3,NO_R1,110,47,14.89,5110,108.72,14010,-3250,11130.0,0.46
0945,8.5,-0.3,ALL,100,65,20.0,20820,320.31,16930,-3250,15570.0,1.34
0945,8.5,-0.3,NO_R1,100,38,18.42,-8430,-221.84,5880,-3250,14310.0,-0.59
0945,8.75,-0.05,ALL,999,252,2.78,18770,74.48,9680,-740,6360.0,2.95
0945,8.75,-0.05,NO_R1,999,193,3.11,11210,58.08,8550,-740,5890.0,1.9
0945,8.75,-0.05,ALL,110,312,1.92,14560,46.67,9680,-400,9820.0,1.48
0945,8.75,-0.05,NO_R1,110,247,2.02,7800,31.58,8550,-400,10070.0,0.77
0945,8.75,-0.05,ALL,100,247,1.21,2510,10.16,9680,-360,7410.0,0.34
0945,8.75,-0.05,NO_R1,100,189,1.06,-4730,-25.03,2770,-360,9700.0,-0.49
0945,8.75,-0.075,ALL,999,164,5.49,28980,176.71,11160,-560,2750.0,10.54
0945,8.75,-0.075,NO_R1,999,113,6.19,19690,174.25,9530,-560,3770.0,5.22
0945,8.75,-0.075,ALL,110,179,4.47,28160,157.32,11160,-560,3430.0,8.21
0945,8.75,-0.075,NO_R1,110,121,4.96,20000,165.29,9530,-560,3230.0,6.19
0945,8.75,-0.075,ALL,100,153,3.27,9480,61.96,11160,-560,5500.0,1.72
0945,8.75,-0.075,NO_R1,100,97,3.09,1230,12.68,3740,-560,5480.0,0.22
0945,8.75,-0.1,ALL,999,155,5.81,29350,189.35,12150,-750,3570.0,8.22
0945,8.75,-0.1,NO_R1,999,104,6.73,18340,176.35,10740,-750,4810.0,3.81
0945,8.75,-0.1,ALL,110,144,6.25,31400,218.06,12150,-750,2690.0,11.67
0945,8.75,-0.1,NO_R1,110,86,8.14,21840,253.95,10740,-750,2190.0,9.97
0945,8.75,-0.1,ALL,100,149,3.36,6290,42.21,12150,-750,7250.0,0.87
0945,8.75,-0.1,NO_R1,100,93,3.23,-3360,-36.13,4220,-750,7480.0,-0.45
0945,8.75,-0.125,ALL,999,145,7.59,33300,229.66,12640,-990,4510.0,7.38
0945,8.75,-0.125,NO_R1,999,104,6.73,19920,191.54,11690,-990,5520.0,3.61
0945,8.75,-0.125,ALL,110,134,8.21,36020,268.81,12640,-990,3540.0,10.18
0945,8.75,-0.125,NO_R1,110,86,8.14,24440,284.19,11690,-990,3040.0,8.04
0945,8.75,-0.125,ALL,100,142,4.93,7370,51.9,12640,-990,9470.0,0.78
0945,8.75,-0.125,NO_R1,100,93,3.23,-3890,-41.83,5210,-990,9070.0,-0.43
0945,8.75,-0.15,ALL,999,145,7.59,37080,255.72,13620,-1300,5540.0,6.69
0945,8.75,-0.15,NO_R1,999,104,6.73,20500,197.12,12620,-1300,7020.0,2.92
0945,8.75,-0.15,ALL,110,134,8.21,40440,301.79,13620,-1300,4400.0,9.19
0945,8.75,-0.15,NO_R1,110,86,8.14,26020,302.56,12620,-1300,3900.0,6.67
0945,8.75,-0.15,ALL,100,133,6.02,10110,76.02,13620,-1300,9990.0,1.01
0945,8.75,-0.15,NO_R1,100,84,4.76,-3890,-46.31,5700,-1300,9850.0,-0.39
0945,8.75,-0.175,ALL,999,144,8.33,39730,275.9,14110,-1670,6680.0,5.95
0945,8.75,-0.175,NO_R1,999,104,6.73,21070,202.6,13530,-1670,8430.0,2.5
0945,8.75,-0.175,ALL,110,133,9.02,43800,329.32,14110,-1670,5350.0,8.19
0945,8.75,-0.175,NO_R1,110,86,8.14,27750,322.67,13530,-1670,4710.0,5.89
0945,8.75,-0.175,ALL,100,130,6.92,10600,81.54,14110,-1670,11920.0,0.89
0945,8.75,-0.175,NO_R1,100,82,4.88,-4880,-59.51,6180,-1670,11560.0,-0.42
0945,8.75,-0.2,ALL,999,136,9.56,48330,355.37,15070,-1880,8060.0,6.0
0945,8.75,-0.2,NO_R1,999,104,6.73,18780,180.58,13980,-1880,10480.0,1.79
0945,8.75,-0.2,ALL,110,125,10.4,53260,426.08,15070,-1880,5990.0,8.89
0945,8.75,-0.2,NO_R1,110,86,8.14,26800,311.63,13980,-1880,5540.0,4.84
0945,8.75,-0.2,ALL,100,122,8.2,19520,160.0,15070,-1880,12770.0,1.53
0945,8.75,-0.2,NO_R1,100,82,4.88,-6210,-75.73,6180,-1880,13150.0,-0.47
0945,8.75,-0.225,ALL,999,129,10.08,44520,345.12,15550,-2370,13360.0,3.33
0945,8.75,-0.225,NO_R1,999,101,7.92,18000,178.22,14430,-2370,10300.0,1.75
0945,8.75,-0.225,ALL,110,120,10.83,48660,405.5,15550,-2370,12540.0,3.88
0945,8.75,-0.225,NO_R1,110,86,8.14,25250,293.6,14430,-2370,7400.0,3.41
0945,8.75,-0.225,ALL,100,112,9.82,22320,199.29,15550,-2370,11420.0,1.95
0945,8.75,-0.225,NO_R1,100,82,4.88,-9300,-113.41,6660,-2370,16800.0,-0.55
0945,8.75,-0.25,ALL,999,118,11.86,34690,293.98,16020,-2640,18650.0,1.86
0945,8.75,-0.25,NO_R1,999,91,8.79,5410,59.45,13620,-2640,15810.0,0.34
0945,8.75,-0.25,ALL,110,114,12.28,36550,320.61,16020,-2640,17860.0,2.05
0945,8.75,-0.25,NO_R1,110,81,8.64,10470,129.26,13620,-2640,10750.0,0.97
0945,8.75,-0.25,ALL,100,111,10.81,23220,209.19,16020,-2640,12260.0,1.89
0945,8.75,-0.25,NO_R1,100,82,4.88,-11470,-139.88,7130,-2640,19990.0,-0.57
0945,8.75,-0.275,ALL,999,102,17.65,39630,388.53,16480,-2950,19350.0,2.05
0945,8.75,-0.275,NO_R1,999,76,15.79,10540,138.68,14010,-2950,16210.0,0.65
0945,8.75,-0.275,ALL,110,100,17.0,40030,400.3,16480,-2950,20260.0,1.98
0945,8.75,-0.275,NO_R1,110,67,14.93,13900,207.46,14010,-2950,12850.0,1.08
0945,8.75,-0.275,ALL,100,96,16.67,26940,280.62,16480,-2950,14060.0,1.92
0945,8.75,-0.275,NO_R1,100,63,14.29,-5930,-94.13,7590,-2950,15720.0,-0.38
0945,8.75,-0.3,ALL,999,102,17.65,39370,385.98,16930,-3250,21410.0,1.84
0945,8.75,-0.3,NO_R1,999,76,15.79,9960,131.05,14010,-3250,17410.0,0.57
0945,8.75,-0.3,ALL,110,100,17.0,39490,394.9,16930,-3250,22790.0,1.73
0945,8.75,-0.3,NO_R1,110,67,14.93,12440,185.67,14010,-3250,14930.0,0.83
0945,8.75,-0.3,ALL,100,96,16.67,27390,285.31,16930,-3250,15980.0,1.71
0945,8.75,-0.3,NO_R1,100,63,14.29,-6520,-103.49,7590,-3250,16830.0,-0.39
0945,9.0,-0.05,ALL,999,306,2.61,16730,54.67,9680,-740,6390.0,2.62
0945,9.0,-0.05,NO_R1,999,247,2.83,9170,37.13,8550,-740,7870.0,1.17
0945,9.0,-0.05,ALL,110,322,2.17,15020,46.65,9680,-400,9820.0,1.53
0945,9.0,-0.05,NO_R1,110,257,2.33,8260,32.14,8550,-400,10070.0,0.82
0945,9.0,-0.05,ALL,100,257,1.56,2970,11.56,9680,-360,7410.0,0.4
0945,9.0,-0.05,NO_R1,100,199,1.51,-4270,-21.46,2770,-360,9700.0,-0.44
0945,9.0,-0.075,ALL,999,218,4.59,27150,124.54,11160,-560,3990.0,6.8
0945,9.0,-0.075,NO_R1,999,167,4.79,17860,106.95,9530,-560,6930.0,2.58
0945,9.0,-0.075,ALL,110,233,3.86,26330,113.0,11160,-560,3690.0,7.14
0945,9.0,-0.075,NO_R1,110,175,4.0,18170,103.83,9530,-560,4880.0,3.72
0945,9.0,-0.075,ALL,100,197,3.05,8500,43.15,11160,-560,5500.0,1.55
0945,9.0,-0.075,NO_R1,100,141,2.84,250,1.77,3740,-560,7790.0,0.03
0945,9.0,-0.1,ALL,999,209,4.78,27210,130.19,12150,-750,4710.0,5.78
0945,9.0,-0.1,NO_R1,999,158,5.06,16200,102.53,10740,-750,8690.0,1.86
0945,9.0,-0.1,ALL,110,198,5.05,29260,147.78,12150,-750,4350.0,6.73
0945,9.0,-0.1,NO_R1,110,140,5.71,19700,140.71,10740,-750,6070.0,3.25
0945,9.0,-0.1,ALL,100,193,3.11,5210,26.99,12150,-750,7250.0,0.72
0945,9.0,-0.1,NO_R1,100,137,2.92,-4440,-32.41,4220,-750,10450.0,-0.42
0945,9.0,-0.125,ALL,999,197,6.09,30990,157.31,12640,-990,5090.0,6.09
0945,9.0,-0.125,NO_R1,999,158,5.06,17340,109.75,11690,-990,10180.0,1.7
0945,9.0,-0.125,ALL,110,186,6.45,33710,181.24,12640,-990,5090.0,6.62
0945,9.0,-0.125,NO_R1,110,140,5.71,21860,156.14,11690,-990,6820.0,3.21
0945,9.0,-0.125,ALL,100,184,4.35,6360,34.57,12640,-990,9470.0,0.67
0945,9.0,-0.125,NO_R1,100,137,2.92,-5170,-37.74,5210,-990,12540.0,-0.41
0945,9.0,-0.15,ALL,999,197,6.09,34320,174.21,13620,-1300,6030.0,5.69
0945,9.0,-0.15,NO_R1,999,158,5.06,17410,110.19,12620,-1300,12550.0,1.39
0945,9.0,-0.15,ALL,110,186,6.45,37680,202.58,13620,-1300,6030.0,6.25
0945,9.0,-0.15,NO_R1,110,140,5.71,22930,163.79,12620,-1300,8460.0,2.71
0945,9.0,-0.15,ALL,100,175,5.14,8900,50.86,13620,-1300,9990.0,0.89
0945,9.0,-0.15,NO_R1,100,128,3.91,-5430,-42.42,5700,-1300,13830.0,-0.39
0945,9.0,-0.175,ALL,999,153,9.15,42870,280.2,14110,-1670,6680.0,6.42
0945,9.0,-0.175,NO_R1,999,115,7.83,23790,206.87,13530,-1670,8030.0,2.96
0945,9.0,-0.175,ALL,110,142,9.86,46940,330.56,14110,-1670,5350.0,8.77
0945,9.0,-0.175,NO_R1,110,97,9.28,30470,314.12,13530,-1670,4710.0,6.47
0945,9.0,-0.175,ALL,100,139,7.91,13740,98.85,14110,-1670,11920.0,1.15
0945,9.0,-0.175,NO_R1,100,93,6.45,-2160,-23.23,6180,-1670,11160.0,-0.19
0945,9.0,-0.2,ALL,999,145,10.34,52260,360.41,15070,-1880,8060.0,6.48
0945,9.0,-0.2,NO_R1,999,115,7.83,22210,193.13,13980,-1880,9610.0,2.31
0945,9.0,-0.2,ALL,110,134,11.19,57190,426.79,15070,-1880,5990.0,9.55
0945,9.0,-0.2,NO_R1,110,97,9.28,30230,311.65,13980,-1880,5540.0,5.46
0945,9.0,-0.2,ALL,100,131,9.16,23450,179.01,15070,-1880,12770.0,1.84
0945,9.0,-0.2,NO_R1,100,93,6.45,-2780,-29.89,6180,-1880,12280.0,-0.23
0945,9.0,-0.225,ALL,999,138,10.87,49180,356.38,15550,-2370,13360.0,3.68
0945,9.0,-0.225,NO_R1,999,112,8.93,22030,196.7,14430,-2370,8970.0,2.46
0945,9.0,-0.225,ALL,110,129,11.63,53320,413.33,15550,-2370,12540.0,4.25
0945,9.0,-0.225,NO_R1,110,97,9.28,29280,301.86,14430,-2370,7400.0,3.96
0945,9.0,-0.225,ALL,100,121,10.74,26980,222.98,15550,-2370,11420.0,2.36
0945,9.0,-0.225,NO_R1,100,93,6.45,-5270,-56.67,6660,-2370,15470.0,-0.34
0945,9.0,-0.25,ALL,999,127,12.6,39370,310.0,16020,-2640,18650.0,2.11
0945,9.0,-0.25,NO_R1,999,102,9.8,9730,95.39,13620,-2640,14030.0,0.69
0945,9.0,-0.25,ALL,110,123,13.01,41230,335.2,16020,-2640,17860.0,2.31
0945,9.0,-0.25,NO_R1,110,92,9.78,14790,160.76,13620,-2640,8970.0,1.65
0945,9.0,-0.25,ALL,100,120,11.67,27900,232.5,16020,-2640,12260.0,2.28
0945,9.0,-0.25,NO_R1,100,93,6.45,-7150,-76.88,7130,-2640,18210.0,-0.39
0945,9.0,-0.275,ALL,999,107,17.76,41090,384.02,16480,-2950,19350.0,2.12
0945,9.0,-0.275,NO_R1,999,82,17.07,12360,150.73,14010,-2950,13990.0,0.88
0945,9.0,-0.275,ALL,110,105,17.14,41490,395.14,16480,-2950,20260.0,2.05
0945,9.0,-0.275,NO_R1,110,73,16.44,15720,215.34,14010,-2950,10630.0,1.48
0945,9.0,-0.275,ALL,100,101,16.83,28400,281.19,16480,-2950,14060.0,2.02
0945,9.0,-0.275,NO_R1,100,69,15.94,-4110,-59.57,7590,-2950,13540.0,-0.3
0945,9.0,-0.3,ALL,999,107,18.69,41490,387.76,16930,-3250,21410.0,1.94
0945,9.0,-0.3,NO_R1,999,82,18.29,12830,156.46,14010,-3250,14770.0,0.87
0945,9.0,-0.3,ALL,110,105,18.1,41610,396.29,16930,-3250,22790.0,1.83
0945,9.0,-0.3,NO_R1,110,73,17.81,15310,209.73,14010,-3250,12290.0,1.25
0945,9.0,-0.3,ALL,100,101,17.82,29510,292.18,16930,-3250,15980.0,1.85
0945,9.0,-0.3,NO_R1,100,69,17.39,-3650,-52.9,7590,-3250,14720.0,-0.25
0945,9.25,-0.05,ALL,999,320,2.5,15830,49.47,9680,-740,6750.0,2.35
0945,9.25,-0.05,NO_R1,999,260,2.69,8340,32.08,8550,-740,8230.0,1.01
0945,9.25,-0.05,ALL,110,336,2.08,14120,42.02,9680,-400,10180.0,1.39
0945,9.25,-0.05,NO_R1,110,270,2.22,7430,27.52,8550,-400,10430.0,0.71
0945,9.25,-0.05,ALL,100,258,1.55,2960,11.47,9680,-360,7410.0,0.4
0945,9.25,-0.05,NO_R1,100,200,1.5,-4280,-21.4,2770,-360,9700.0,-0.44
0945,9.25,-0.075,ALL,999,232,4.31,25900,111.64,11160,-560,4540.0,5.7
0945,9.25,-0.075,NO_R1,999,180,4.44,16700,92.78,9530,-560,7480.0,2.23
0945,9.25,-0.075,ALL,110,247,3.64,25080,101.54,11160,-560,4240.0,5.92
0945,9.25,-0.075,NO_R1,110,188,3.72,17010,90.48,9530,-560,5430.0,3.13
0945,9.25,-0.075,ALL,100,198,3.03,8480,42.83,11160,-560,5500.0,1.54
0945,9.25,-0.075,NO_R1,100,142,2.82,230,1.62,3740,-560,7790.0,0.03
0945,9.25,-0.1,ALL,999,223,4.48,25520,114.44,12150,-750,4710.0,5.42
0945,9.25,-0.1,NO_R1,999,171,4.68,14630,85.56,10740,-750,9440.0,1.55
0945,9.25,-0.1,ALL,110,212,4.72,27570,130.05,12150,-750,4350.0,6.34
0945,9.25,-0.1,NO_R1,110,153,5.23,18130,118.5,10740,-750,6820.0,2.66
0945,9.25,-0.1,ALL,100,194,3.09,5190,26.75,12150,-750,7250.0,0.72
0945,9.25,-0.1,NO_R1,100,138,2.9,-4460,-32.32,4220,-750,10450.0,-0.43
0945,9.25,-0.125,ALL,999,212,5.66,28740,135.57,12640,-990,5090.0,5.65
0945,9.25,-0.125,NO_R1,999,171,4.68,15320,89.59,11690,-990,11150.0,1.37
0945,9.25,-0.125,ALL,110,201,5.97,31460,156.52,12640,-990,5090.0,6.18
0945,9.25,-0.125,NO_R1,110,153,5.23,19840,129.67,11690,-990,7790.0,2.55
0945,9.25,-0.125,ALL,100,186,4.3,6240,33.55,12640,-990,9470.0,0.66
0945,9.25,-0.125,NO_R1,100,138,2.9,-5190,-37.61,5210,-990,12540.0,-0.41
0945,9.25,-0.15,ALL,999,212,5.66,31440,148.3,13620,-1300,6200.0,5.07
0945,9.25,-0.15,NO_R1,999,171,4.68,14810,86.61,12620,-1300,13800.0,1.07
0945,9.25,-0.15,ALL,110,201,5.97,34800,173.13,13620,-1300,6030.0,5.77
0945,9.25,-0.15,NO_R1,110,153,5.23,20330,132.88,12620,-1300,9710.0,2.09
0945,9.25,-0.15,ALL,100,177,5.08,8750,49.44,13620,-1300,9990.0,0.88
0945,9.25,-0.15,NO_R1,100,129,3.88,-5460,-42.33,5700,-1300,13830.0,-0.39
0945,9.25,-0.175,ALL,999,198,7.07,35130,177.42,14110,-1670,7740.0,4.54
0945,9.25,-0.175,NO_R1,999,162,5.56,15460,95.43,13530,-1670,14600.0,1.06
0945,9.25,-0.175,ALL,110,188,7.45,38820,206.49,14110,-1670,7070.0,5.49
0945,9.25,-0.175,NO_R1,110,144,6.25,22140,153.75,13530,-1670,9610.0,2.3
0945,9.25,-0.175,ALL,100,166,6.63,10150,61.14,14110,-1670,11920.0,0.85
0945,9.25,-0.175,NO_R1,100,120,5.0,-5720,-47.67,6180,-1670,14680.0,-0.39
0945,9.25,-0.2,ALL,999,190,7.89,43150,227.11,15070,-1880,9580.0,4.5
0945,9.25,-0.2,NO_R1,999,162,5.56,12340,76.17,13980,-1880,17430.0,0.71
0945,9.25,-0.2,ALL,110,180,8.33,47630,264.61,15070,-1880,8000.0,5.95
0945,9.25,-0.2,NO_R1,110,144,6.25,20360,141.39,13980,-1880,11480.0,1.77
0945,9.25,-0.2,ALL,100,158,7.59,19150,121.2,15070,-1880,12770.0,1.5
0945,9.25,-0.2,NO_R1,100,120,5.0,-7050,-58.75,6180,-1880,16510.0,-0.43
0945,9.25,-0.225,ALL,999,165,9.7,41850,253.64,15550,-2370,15990.0,2.62
0945,9.25,-0.225,NO_R1,999,142,7.75,13500,95.07,14430,-2370,14800.0,0.91
0945,9.25,-0.225,ALL,110,157,10.19,45490,289.75,15550,-2370,15170.0,3.0
0945,9.25,-0.225,NO_R1,110,126,7.94,21000,166.67,14430,-2370,10030.0,2.09
0945,9.25,-0.225,ALL,100,139,10.07,22220,159.86,15550,-2370,13910.0,1.6
0945,9.25,-0.225,NO_R1,100,105,6.67,-7490,-71.33,6660,-2370,17620.0,-0.43
0945,9.25,-0.25,ALL,999,154,11.04,31300,203.25,16020,-2640,21930.0,1.43
0945,9.25,-0.25,NO_R1,999,132,8.33,260,1.97,13620,-2640,23410.0,0.01
0945,9.25,-0.25,ALL,110,151,11.26,32590,215.83,16020,-2640,21140.0,1.54
0945,9.25,-0.25,NO_R1,110,121,8.26,5640,46.61,13620,-2640,18030.0,0.31
0945,9.25,-0.25,ALL,100,138,10.87,22870,165.72,16020,-2640,15060.0,1.52
0945,9.25,-0.25,NO_R1,100,105,6.67,-9310,-88.67,7130,-2640,20280.0,-0.46
0945,9.25,-0.275,ALL,999,140,15.71,35750,255.36,16480,-2950,22860.0,1.56
0945,9.25,-0.275,NO_R1,999,117,14.53,5520,47.18,14010,-2950,23920.0,0.23
0945,9.25,-0.275,ALL,110,138,15.22,35820,259.57,16480,-2950,23340.0,1.53
0945,9.25,-0.275,NO_R1,110,107,14.02,9240,86.36,14010,-2950,20200.0,0.46
0945,9.25,-0.275,ALL,100,125,16.0,26650,213.2,16480,-2950,16570.0,1.61
0945,9.25,-0.275,NO_R1,100,91,14.29,-5960,-65.49,7590,-2950,18440.0,-0.32
0945,9.25,-0.3,ALL,999,135,17.78,38730,286.89,16930,-3250,24630.0,1.57
0945,9.25,-0.3,NO_R1,999,113,16.81,8190,72.48,14010,-3250,22240.0,0.37
0945,9.25,-0.3,ALL,110,133,17.29,38490,289.4,16930,-3250,25510.0,1.51
0945,9.25,-0.3,NO_R1,110,103,16.5,11080,107.57,14010,-3250,19350.0,0.57
0945,9.25,-0.3,ALL,100,122,18.03,29840,244.59,16930,-3250,18060.0,1.65
0945,9.25,-0.3,NO_R1,100,89,16.85,-4410,-49.55,7590,-3250,17860.0,-0.25
0945,9.5,-0.05,ALL,999,334,2.4,15270,45.72,9680,-740,6830.0,2.24
0945,9.5,-0.05,NO_R1,999,274,2.55,7780,28.39,8550,-740,8310.0,0.94
0945,9.5,-0.05,ALL,110,348,2.01,13640,39.2,9680,-400,10180.0,1.34
0945,9.5,-0.05,NO_R1,110,282,2.13,6950,24.65,8550,-400,10430.0,0.67
0945,9.5,-0.05,ALL,100,269,1.49,2510,9.33,9680,-360,7410.0,0.34
0945,9.5,-0.05,NO_R1,100,211,1.42,-4730,-22.42,2770,-360,9700.0,-0.49
0945,9.5,-0.075,ALL,999,247,4.05,25060,101.46,11160,-560,4650.0,5.39
0945,9.5,-0.075,NO_R1,999,195,4.1,15860,81.33,9530,-560,7590.0,2.09
0945,9.5,-0.075,ALL,110,261,3.45,24270,92.99,11160,-560,4350.0,5.58
0945,9.5,-0.075,NO_R1,110,202,3.47,16200,80.2,9530,-560,5540.0,2.92
0945,9.5,-0.075,ALL,100,211,2.84,7710,36.54,11160,-560,5500.0,1.4
0945,9.5,-0.075,NO_R1,100,155,2.58,-540,-3.48,3740,-560,7900.0,-0.07
0945,9.5,-0.1,ALL,999,238,4.2,24420,102.61,12150,-750,4840.0,5.05
0945,9.5,-0.1,NO_R1,999,186,4.3,13530,72.74,10740,-750,9570.0,1.41
0945,9.5,-0.1,ALL,110,227,4.41,26470,116.61,12150,-750,4480.0,5.91
0945,9.5,-0.1,NO_R1,110,168,4.76,17030,101.37,10740,-750,6950.0,2.45
0945,9.5,-0.1,ALL,100,207,2.9,4180,20.19,12150,-750,7250.0,0.58
0945,9.5,-0.1,NO_R1,100,151,2.65,-5470,-36.23,4220,-750,10580.0,-0.52
0945,9.5,-0.125,ALL,999,227,5.29,27260,120.09,12640,-990,5260.0,5.18
0945,9.5,-0.125,NO_R1,999,186,4.3,13840,74.41,11690,-990,11320.0,1.22
0945,9.5,-0.125,ALL,110,216,5.56,29980,138.8,12640,-990,5260.0,5.7
0945,9.5,-0.125,NO_R1,110,168,4.76,18360,109.29,11690,-990,7960.0,2.31
0945,9.5,-0.125,ALL,100,199,4.02,4900,24.62,12640,-990,9470.0,0.52
0945,9.5,-0.125,NO_R1,100,151,2.65,-6530,-43.25,5210,-990,12710.0,-0.51
0945,9.5,-0.15,ALL,999,227,5.29,29630,130.53,13620,-1300,6230.0,4.76
0945,9.5,-0.15,NO_R1,999,186,4.3,13000,69.89,12620,-1300,14000.0,0.93
0945,9.5,-0.15,ALL,110,216,5.56,32990,152.73,13620,-1300,6230.0,5.3
0945,9.5,-0.15,NO_R1,110,168,4.76,18520,110.24,12620,-1300,9910.0,1.87
0945,9.5,-0.15,ALL,100,190,4.74,7120,37.47,13620,-1300,9990.0,0.71
0945,9.5,-0.15,NO_R1,100,142,3.52,-7090,-49.93,5700,-1300,14030.0,-0.51
0945,9.5,-0.175,ALL,999,204,7.35,35010,171.62,14110,-1670,7740.0,4.52
0945,9.5,-0.175,NO_R1,999,167,5.99,15470,92.63,13530,-1670,14850.0,1.04
0945,9.5,-0.175,ALL,110,194,7.73,38700,199.48,14110,-1670,7070.0,5.47
0945,9.5,-0.175,NO_R1,110,149,6.71,22150,148.66,13530,-1670,9860.0,2.25
0945,9.5,-0.175,ALL,100,170,7.06,10240,60.24,14110,-1670,11920.0,0.86
0945,9.5,-0.175,NO_R1,100,123,5.69,-5500,-44.72,6180,-1670,14930.0,-0.37
0945,9.5,-0.2,ALL,999,196,8.16,43360,221.22,15070,-1880,9580.0,4.53
0945,9.5,-0.2,NO_R1,999,167,5.99,12710,76.11,13980,-1880,17720.0,0.72
0945,9.5,-0.2,ALL,110,186,8.6,47840,257.2,15070,-1880,8000.0,5.98
0945,9.5,-0.2,NO_R1,110,149,6.71,20730,139.13,13980,-1880,11770.0,1.76
0945,9.5,-0.2,ALL,100,162,8.02,19630,121.17,15070,-1880,12770.0,1.54
0945,9.5,-0.2,NO_R1,100,123,5.69,-6410,-52.11,6180,-1880,16800.0,-0.38
0945,9.5,-0.225,ALL,999,171,9.94,42320,247.49,15550,-2370,15990.0,2.65
0945,9.5,-0.225,NO_R1,999,147,8.16,14170,96.39,14430,-2370,15160.0,0.93
0945,9.5,-0.225,ALL,110,163,10.43,45960,281.96,15550,-2370,15170.0,3.03
0945,9.5,-0.225,NO_R1,110,131,8.4,21670,165.42,14430,-2370,10050.0,2.16
0945,9.5,-0.225,ALL,100,143,10.49,23030,161.05,15550,-2370,13910.0,1.66
0945,9.5,-0.225,NO_R1,100,108,7.41,-6480,-60.0,6660,-2370,17980.0,-0.36
0945,9.5,-0.25,ALL,999,160,11.25,31990,199.94,16020,-2640,21930.0,1.46
0945,9.5,-0.25,NO_R1,999,137,8.76,1190,8.69,13620,-2640,23840.0,0.05
0945,9.5,-0.25,ALL,110,157,11.46,33280,211.97,16020,-2640,21140.0,1.57
0945,9.5,-0.25,NO_R1,110,126,8.73,6570,52.14,13620,-2640,18460.0,0.36
0945,9.5,-0.25,ALL,100,142,11.27,24000,169.01,16020,-2640,15060.0,1.59
0945,9.5,-0.25,NO_R1,100,108,7.41,-7940,-73.52,7130,-2640,20710.0,-0.38
0945,9.5,-0.275,ALL,999,146,15.75,36160,247.67,16480,-2950,22860.0,1.58
0945,9.5,-0.275,NO_R1,999,122,14.75,6230,51.07,14010,-2950,24450.0,0.25
0945,9.5,-0.275,ALL,110,144,15.28,36230,251.6,16480,-2950,23340.0,1.55
0945,9.5,-0.275,NO_R1,110,112,14.29,9950,88.84,14010,-2950,20730.0,0.48
0945,9.5,-0.275,ALL,100,129,16.28,27620,214.11,16480,-2950,16570.0,1.67
0945,9.5,-0.275,NO_R1,100,94,14.89,-4690,-49.89,7590,-2950,18970.0,-0.25
0945,9.5,-0.3,ALL,999,141,17.73,39470,279.93,16930,-3250,24630.0,1.6
0945,9.5,-0.3,NO_R1,999,118,16.95,9230,78.22,14010,-3250,22850.0,0.4
0945,9.5,-0.3,ALL,110,139,17.27,39230,282.23,16930,-3250,25510.0,1.54
0945,9.5,-0.3,NO_R1,110,108,16.67,12120,112.22,14010,-3250,19960.0,0.61
0945,9.5,-0.3,ALL,100,126,18.25,31140,247.14,16930,-3250,18060.0,1.72
0945,9.5,-0.3,NO_R1,100,92,17.39,-2810,-30.54,7590,-3250,18390.0,-0.15
