time,threshold,delta,regimes,vvix_max,n,wr,total,avg,best,worst,max_dd,mar
0945,8.0,-0.075,NO_R1,100,64,3.12,-810,-12.66,3740,-560,4240.0,-0.19
0945,8.0,-0.1,ALL,999,100,6.0,28480,284.8,12150,-330,3250.0,8.76
0945,8.0,-0.1,NO_R1,999,60,8.33,18390,306.5,10740,-360,3860.0,4.76
0945,8.0,-0.1,ALL,110,89,6.74,30530,343.03,12150,-280,2370.0,12.88
0945,8.0,-0.1,NO_R1,110,43,11.63,21790,506.74,10740,-280,1700.0,12.82
0945,8.0,-0.1,ALL,100,103,3.88,5100,49.51,12150,-750,7080.0,0.72
0945,8.0,-0.1,NO_R1,100,60,3.33,-5370,-89.5,1670,-750,5780.0,-0.93
0945,8.0,-0.125,ALL,999,86,8.14,31860,370.47,12640,-460,4120.0,7.73
0945,8.0,-0.125,NO_R1,999,60,8.33,20250,337.5,11690,-470,4830.0,4.19
0945,8.0,-0.125,ALL,110,75,9.33,34580,461.07,12640,-300,2960.0,11.68
0945,8.0,-0.125,NO_R1,110,43,11.63,24630,572.79,11690,-280,2070.0,11.9
0945,8.0,-0.125,ALL,100,92,5.43,5860,63.7,12640,-990,9270.0,0.63
0945,8.0,-0.125,NO_R1,100,60,3.33,-6120,-102.0,2650,-990,7600.0,-0.81
0945,8.0,-0.15,ALL,999,86,8.14,35060,407.67,13620,-570,5080.0,6.9
0945,8.0,-0.15,NO_R1,999,60,8.33,21610,360.17,12620,-570,5970.0,3.62
0945,8.0,-0.15,ALL,110,75,9.33,38420,512.27,13620,-390,3650.0,10.53
0945,8.0,-0.15,NO_R1,110,43,11.63,26960,626.98,12620,-360,2590.0,10.41
0945,8.0,-0.15,ALL,100,79,7.59,9200,116.46,13620,-1300,9300.0,0.99
0945,8.0,-0.15,NO_R1,100,49,6.12,-5570,-113.67,3130,-1300,7590.0,-0.73
0945,8.0,-0.175,ALL,999,80,8.75,36610,457.62,14110,-640,6120.0,5.98
0945,8.0,-0.175,NO_R1,999,60,8.33,22750,379.17,13530,-670,7280.0,3.12
0945,8.0,-0.175,ALL,110,70,10.0,40300,575.71,14110,-450,4430.0,9.1
0945,8.0,-0.175,NO_R1,110,43,11.63,29200,679.07,13530,-430,3180.0,9.18
0945,8.0,-0.175,ALL,100,74,8.11,8480,114.59,14110,-1670,11090.0,0.76
0945,8.0,-0.175,NO_R1,100,47,6.38,-6190,-131.7,4080,-1670,9020.0,-0.69
0945,8.0,-0.2,ALL,999,72,11.11,46010,639.03,15070,-790,7390.0,6.23
0945,8.0,-0.2,NO_R1,999,60,8.33,22110,368.5,13980,-800,8710.0,2.54
0945,8.0,-0.2,ALL,110,62,12.9,50490,814.35,15070,-520,5320.0,9.49
0945,8.0,-0.2,NO_R1,110,43,11.63,29860,694.42,13980,-520,3800.0,7.86
0945,8.0,-0.2,ALL,100,66,10.61,18080,273.94,15070,-1880,11790.0,1.53
0945,8.0,-0.2,NO_R1,100,47,6.38,-6400,-136.17,4540,-1880,9670.0,-0.66
0945,8.0,-0.225,ALL,999,65,12.31,43030,662.0,15550,-650,6540.0,6.58
0945,8.0,-0.225,NO_R1,999,55,10.91,23700,430.91,14430,-870,7170.0,3.31
0945,8.0,-0.225,ALL,110,57,14.04,46670,818.77,15550,-590,4940.0,9.45
